,Player,Age,Pos,G,GS,Yds,TD,D,Lng,Fmb,Player_additional,points
0,Jonathan Taylor*+,22,RB,17,17,1811,18,107,83,4,TaylJo02,281.1
1,Najee Harris*,23,RB,17,17,1200,7,62,37,0,HarrNa00,162
2,Joe Mixon*,25,RB,16,16,1205,13,60,32,2,MixoJo00,194.5
3,Antonio Gibson,23,RB,16,14,1037,7,65,27,6,GibsAn00,133.7
4,Dalvin Cook*,26,RB,13,13,1159,6,57,66,3,CookDa01,145.9
5,Alvin Kamara*,26,RB,13,10,898,4,42,30,0,KamaAl00,113.8
6,Ezekiel Elliott,26,RB,17,17,1002,10,55,47,1,ElliEz00,158.2
7,Nick Chubb*,26,RB,14,14,1259,8,61,70,2,ChubNi00,169.9
8,David Montgomery,24,RB,13,13,849,7,55,41,1,MontDa01,124.9
9,Derrick Henry,27,RB,8,8,937,10,49,76,1,HenrDe00,151.7
10,Josh Jacobs,23,RB,15,14,872,9,45,28,2,JacoJo01,137.2
11,Sony Michel,26,rb,17,7,845,4,49,39,1,MichSo00,106.5
12,Elijah Mitchell,23,RB,11,10,963,5,47,39,0,MitcEl00,126.3
13,Austin Ekeler,26,RB,16,16,911,12,53,28,4,EkelAu00,155.1
14,Melvin Gordon,28,RB,16,16,918,8,48,70,3,GordMe00,133.8
15,Javonte Williams,21,rb,17,1,903,4,52,49,2,WillJa10,110.3
16,James Conner*,26,rb,15,6,752,15,53,35,2,ConnJa00,161.2
17,Damien Harris,24,RB,15,15,929,15,55,64,2,HarrDa06,178.9
18,Devin Singletary,24,RB,17,16,870,7,44,46,5,SingDe00,119
19,AJ Dillon,23,rb,17,2,803,5,50,36,2,DillAJ00,106.3
20,Leonard Fournette,26,RB,14,13,812,8,45,47,1,FourLe00,127.2
21,Myles Gaskin,24,RB,17,10,612,3,25,30,2,GaskMy00,75.2
22,Chuba Hubbard,22,RB,17,10,612,5,36,26,1,HubbCh01,89.2
23,Aaron Jones,27,RB,15,15,799,4,37,57,2,JoneAa00,99.9
24,James Robinson,23,RB,14,13,767,8,41,58,4,RobiJa00,116.7
25,Saquon Barkley,24,RB,13,13,593,2,27,41,2,BarkSa00,67.3
26,Mark Ingram,32,0,14,10,554,2,23,28,1,IngrMa01,65.4
27,Cordarrelle Patterson,30,RB,16,13,618,6,29,39,2,PattCo00,93.8
28,Jamaal Williams,26,RB,13,11,601,3,42,20,1,WillJa06,76.1
29,D'Andre Swift,22,rb,13,4,617,5,28,57,2,SwifDA00,87.7
30,Darrell Henderson,24,RB,12,10,688,5,39,29,0,HendDa00,98.8
31,Michael Carter,22,RB,14,11,639,4,29,55,1,CartMi03,85.9
32,Devontae Booker,29,rb,16,4,593,2,31,31,0,BookDe00,71.3
33,Darrel Williams,26,rb,17,7,558,6,40,21,0,WillDa10,91.8
34,Jalen Hurts,23,QB,15,15,784,10,56,31,9,HurtJa00,120.4
35,Mike Davis,28,rb,17,8,503,3,21,18,4,DaviMi01,60.3
36,Miles Sanders,24,RB,12,12,754,0,33,38,1,SandMi01,73.4
37,Alexander Mattison,23,rb,16,4,491,3,28,48,1,MattAl01,65.1
38,D'Onta Foreman,25,rb,9,3,566,3,22,35,2,ForeDO00,70.6
39,Devonta Freeman,29,RB,16,8,576,5,31,32,0,FreeDe00,87.6
40,Lamar Jackson*,24,QB,12,12,767,2,48,31,6,JackLa00,76.7
41,Rhamondre Stevenson,23,rb,12,2,606,5,33,21,2,StevRh00,86.6
42,Tony Pollard,24,rb,15,0,719,2,35,58,2,PollTo00,79.9
43,Josh Allen,25,QB,17,17,763,6,54,34,8,AlleJo02,96.3
44,Rex Burkhead,31,rb,16,5,427,3,30,36,1,BurkRe00,58.7
45,Clyde Edwards-Helaire,22,RB,10,10,517,4,21,17,2,EdwaCl00,71.7
46,Latavius Murray,31,rb,14,6,501,6,36,46,0,MurrLa00,86.1
47,Rashaad Penny,25,RB,10,6,749,6,28,62,0,PennRa00,110.9
48,Chase Edmonds,25,RB,12,11,592,2,32,54,1,EdmoCh00,69.2
49,Alex Collins,27,rb,11,6,411,2,22,25,1,CollAl00,51.1
50,Khalil Herbert,23,rb,17,2,433,2,24,29,1,HerbKh00,53.3
51,Ronald Jones II,24,rb,16,3,428,4,25,30,2,JoneRo01,62.8
52,D'Ernest Johnson,25,rb,17,2,534,3,24,30,1,JohnDE04,69.4
53,Christian McCaffrey,25,rb,7,7,442,1,20,18,1,McCaCh01,48.2
54,Zack Moss,24,rb,13,0,345,4,22,17,2,MossZa00,54.5
55,Phillip Lindsay,27,0,14,1,249,1,11,35,0,LindPh00,30.9
56,Kyler Murray*,24,QB,14,14,423,5,25,57,13,MurrKy00,46.3
57,Boston Scott,26,rb,16,4,373,7,24,23,1,ScotBo02,77.3
58,Jordan Howard,27,rb,7,0,406,3,24,25,0,HowaJo00,58.6
59,Tevin Coleman,28,rb,11,5,356,0,19,20,0,ColeTe01,35.6
60,Jeff Wilson,26,rb,9,4,294,2,19,17,1,WilsJe01,39.4
61,Kareem Hunt,26,rb,8,1,386,5,22,33,0,HuntKa00,68.6
62,Trevor Lawrence,22,QB,17,17,334,2,22,26,9,LawrTr00,27.4
63,Justin Fields,22,QB,12,10,420,2,22,23,12,FielJu00,30
64,Carlos Hyde,31,rb,12,2,253,1,14,18,2,HydeCa00,27.3
65,Duke Johnson,28,rb,5,4,330,3,18,27,0,JohnDu00,51
66,Taysom Hill,31,qb,12,9,374,5,26,44,2,HillTa00,63.4
67,Kenneth Gainwell,22,rb,16,1,291,5,19,18,2,GainKe00,55.1
68,Justin Jackson,25,rb,14,2,364,2,18,75,1,JackJu01,46.4
69,Jaret Patterson,22,rb,17,1,266,2,15,13,1,PattJa01,36.6
70,David Johnson,30,rb,13,4,228,0,7,15,1,JohnDa08,20.8
71,Patrick Mahomes*,26,QB,17,17,381,2,25,32,9,MahoPa00,32.1
72,Kenyan Drake,27,rb,12,2,254,2,15,21,1,DrakKe00,35.4
73,Justin Herbert*,23,QB,17,17,302,3,28,36,1,HerbJu00,46.2
74,Daniel Jones,24,QB,11,11,298,2,16,46,7,JoneDa05,27.8
75,Ty Johnson,24,rb,16,3,238,2,13,24,2,JohnTy02,31.8
76,Taylor Heinicke,28,QB,16,15,313,1,20,38,7,HeinTa00,23.3
77,Deebo Samuel*+,25,WR,16,15,365,8,21,49,4,SamuDe00,76.5
78,Carson Wentz,29,QB,17,17,215,1,21,18,8,WentCa00,11.5
79,Royce Freeman,25,0,15,0,169,0,8,13,0,FreeRo00,16.9
80,Dontrell Hilliard,26,rb,8,5,350,2,15,68,2,HillDo00,43
81,Nyheim Hines,25,rb,17,4,276,2,15,34,3,HineNy00,33.6
82,Peyton Barber,27,rb,10,1,212,2,12,27,2,BarbPe01,29.2
83,Samaje Perine,26,rb,16,0,246,1,11,46,0,PeriSa00,30.6
84,Craig Reynolds,25,rb,5,2,230,0,11,35,0,ReynCr00,23
85,Ryan Tannehill,33,QB,17,17,270,7,33,28,10,TannRy00,49
86,Salvon Ahmed,23,rb,12,0,149,0,8,16,0,AhmeSa01,14.9
87,Chris Carson,27,rb,4,4,232,3,11,33,1,CarsCh00,39.2
88,Tony Jones,24,rb,11,4,142,0,7,11,0,JoneTo04,14.2
89,Ameer Abdullah,28,0,17,1,166,0,8,15,0,AbduAm00,16.6
90,Derrick Gore,27,rb,11,0,256,2,12,51,0,GoreDe00,37.6
91,Sam Darnold,24,QB,12,11,222,5,20,30,9,DarnSa00,34.2
92,J.D. McKissic,28,wr,11,3,212,2,14,15,0,McKiJ.00,33.2
93,Dak Prescott,28,QB,16,16,146,1,7,21,14,PresDa01,-7.4
94,Tyler Huntley,23,qb,7,4,294,2,22,21,4,HuntTy01,33.4
95,Cam Newton,32,qb,8,5,230,5,20,33,4,NewtCa00,45
96,Brandon Bolden,31,rb,17,1,226,1,12,24,1,BoldBr00,26.6
97,Mac Jones*,23,QB,17,17,129,0,22,13,7,JoneMa05,-1.1
