,Player,Age,Pos,G,GS,Yds,TD,D,Lng,Fmb,Player_additional,points
98,Dare Ogunbowale,27,rb,17,2,137,1,5,12,0,OgunDa00,19.7
99,Russell Wilson*,33,QB,14,14,183,2,17,17,6,WilsRu00,18.3
100,Tua Tagovailoa,23,QB,13,12,128,3,13,23,9,TagoTu00,12.8
101,Jeremy McNichols,26,rb,14,0,156,0,6,14,0,McNiJe00,15.6
102,Trey Sermon,22,rb,9,2,167,1,9,16,0,SermTr00,22.7
103,Joe Burrow,25,QB,16,16,118,2,14,12,5,BurrJo01,13.8
104,Derek Carr,30,QB,17,17,108,0,9,22,13,CarrDe02,-15.2
105,Matt Ryan,36,QB,17,17,82,1,9,17,11,RyanMa00,-7.8
106,Damien Williams,29,rb,12,2,164,2,11,23,0,WillDa05,28.4
107,Le'Veon Bell,29,0,8,0,101,2,9,12,0,BellLe00,22.1
108,Jimmy Garoppolo,30,QB,15,15,51,3,15,7,8,GaroJi00,7.1
109,Trey Lance,21,qb,6,2,168,1,8,15,0,LancTr00,22.8
110,Adrian Peterson,36,0,4,3,98,2,6,16,1,PeteAd01,19.8
111,Baker Mayfield,26,QB,14,14,134,1,12,14,6,MayfBa00,7.4
112,Larry Rountree,22,RB,12,0,87,1,5,13,0,RounLa00,14.7
113,Benny Snell Jr.,23,rb,17,0,98,0,3,9,0,SnelBe00,9.8
114,Ke'Shawn Vaughn,24,rb,12,1,180,2,9,55,0,VaugKe00,30
115,Ty'Son Williams,25,rb,13,3,185,1,7,35,1,WillTy01,22.5
116,Eno Benjamin,22,rb,9,0,118,1,4,21,0,BenjEn00,17.8
117,Malcolm Brown,28,rb,7,3,125,1,6,24,0,BrowMa03,18.5
118,Corey Clement,27,rb,17,0,140,0,7,38,0,ClemCo00,14
119,DeeJay Dallas,23,rb,17,0,138,2,10,15,1,DallDe00,23.8
120,Joshua Kelley,24,rb,10,0,102,0,5,14,1,KellJo01,8.2
121,Aaron Rodgers*+,38,QB,16,16,101,3,10,18,3,RodgAa00,22.1
122,Matthew Stafford,33,QB,17,17,43,0,8,12,5,StafMa00,-5.7
123,Jameis Winston,27,QB,7,7,166,1,17,20,2,WinsJa00,18.6
124,Teddy Bridgewater,29,QB,14,14,106,2,16,13,1,BridTe00,20.6
125,Kirk Cousins*,33,QB,16,16,115,1,8,29,12,CousKi00,-6.5
126,Zach Wilson,22,QB,13,13,185,4,10,52,5,WilsZa00,32.5
127,Tom Brady*,44,QB,17,17,81,2,14,13,4,BradTo00,12.1
128,Wayne Gallman,27,0,8,0,104,0,5,17,0,GallWa00,10.4
129,Marlon Mack,25,rb,6,0,101,0,6,22,0,MackMa00,10.1
130,Matt Breida,26,rb,9,0,125,1,5,28,1,BreiMa00,16.5
131,Austin Walter,25,rb,4,0,101,1,5,14,0,WaltAu00,16.1
132,Elijhaa Penny,28,rb,17,3,99,1,9,12,0,PennEl00,15.9
133,Patrick Taylor,23,rb,9,0,89,1,5,12,0,TaylPa01,14.9
134,Colt McCoy,35,qb,8,3,37,0,6,11,4,McCoCo00,-4.3
135,Travis Homer,23,rb,14,0,177,1,7,73,0,HomeTr00,23.7
136,Qadree Ollison,25,rb,8,0,105,1,7,19,1,OlliQa00,14.5
137,Ben Roethlisberger,39,QB,16,16,5,1,3,8,11,RoetBe00,-15.5
138,Jacoby Brissett,29,qb,11,5,70,1,9,19,6,BrisJa00,1
139,J.J. Taylor,23,rb,5,0,37,2,3,15,1,TaylJJ01,13.7
140,Tyrod Taylor,32,qb,6,6,151,3,6,30,3,TaylTy00,27.1
141,Godwin Igwebuike,27,db,17,1,118,1,7,42,2,IgweGo00,13.8
142,Davis Mills,23,QB,13,11,44,0,5,11,5,MillDa02,-5.6
143,Rondale Moore,21,wr,14,7,76,0,2,26,3,MoorRo02,1.6
144,Chris Evans,24,rb,14,1,77,0,3,13,0,EvanCh02,7.7
145,Jared Goff,27,QB,14,14,87,0,4,26,9,GoffJa00,-9.3
146,Jonathan Williams,27,rb,5,0,79,1,7,23,0,WillJo07,13.9
147,Andy Dalton,34,qb,8,6,76,0,2,14,1,DaltAn00,5.6
148,Jamycal Hasty,25,rb,11,0,68,1,6,21,2,HastJa02,8.8
149,Ryquell Armstead,25,rb,2,0,80,0,3,26,0,ArmsRy00,8
150,Jermar Jefferson,21,rb,7,0,74,2,4,28,0,JeffJe00,19.4
151,Ty Montgomery,28,wr,14,3,44,0,2,9,0,MontTy01,4.4
152,Trayveon Williams,24,rb,5,0,51,0,4,10,0,WillTr06,5.1
153,Chase Claypool,23,WR,15,13,96,0,7,25,0,ClayCh01,9.6
154,Jason Huntley,23,rb,1,0,51,0,2,18,0,HuntJa01,5.1
155,Deon Jackson,22,rb,9,0,31,1,2,10,0,JackDe02,9.1
156,Marcus Mariota,28,qb,10,0,87,1,6,31,1,MariMa01,12.7
157,Kene Nwangwu,23,rb,11,0,61,0,3,19,0,NwanKe00,6.1
158,Mitchell Trubisky,27,qb,6,0,24,1,3,22,0,TrubMi00,8.4
159,Kalen Ballage,26,rb,17,0,36,0,2,13,0,BallKa00,3.6
160,Kendrick Bourne,26,wr,17,5,125,0,7,18,1,BourKe00,10.5
161,Case Keenum,33,qb,7,2,22,0,6,10,1,KeenCa00,0.2
162,Jordan Love,23,qb,6,1,27,0,1,10,3,LoveJo03,-3.3
163,Jerick McKinnon,29,rb,13,0,62,0,2,18,0,McKiJe00,6.2
164,Brian Hoyer,36,qb,5,0,-8,0,1,2,0,HoyeBr00,-0.8
165,Laviska Shenault Jr.,23,WR,16,10,41,0,2,11,1,ShenLa00,2.1
166,DeAndre Carter,28,wr,17,6,89,0,4,27,3,CartDe02,2.9
167,Kylin Hill,23,rb,8,0,24,0,1,8,0,HillKy00,2.4
168,Drew Lock,25,qb,6,3,53,2,5,23,2,LockDr00,13.3
169,Jalen Reagor,22,WR,17,13,32,0,3,12,2,ReagJa00,-0.8
170,James White,29,rb,3,0,38,1,4,10,0,WhitJa02,9.8
171,Blaine Gabbert,32,qb,6,0,-7,0,0,0,0,GabbBl00,-0.7
172,Tyreek Hill*,27,WR,17,16,96,0,4,33,2,HillTy00,5.6
173,Josh Johnson,35,0,4,1,28,0,1,11,2,JohnJo05,-1.2
174,CeeDee Lamb*,22,WR,16,13,76,0,4,33,0,LambCe00,7.6
175,Isaiah McKenzie,26,wr,15,2,47,1,4,10,2,McKeIs00,6.7
176,Gardner Minshew II,25,qb,4,2,21,0,2,9,1,MinsGa00,0.1
177,Jalen Richard,28,rb,10,0,40,0,3,23,0,RichJa01,4
178,Cooper Rush,28,qb,5,1,-8,0,0,2,1,RushCo00,-2.8
179,Trevor Siemian,30,qb,6,4,20,1,2,17,3,SiemTr00,2
180,Geno Smith,31,qb,4,3,42,1,3,12,1,SmitGe00,8.2
181,Jonnu Smith,26,TE,16,11,40,0,2,9,1,SmitJo01,2
182,Keith Smith,29,FB,17,8,31,0,3,8,0,SmitKe03,3.1
183,Jonathan Ward,24,rb,13,0,33,0,3,7,0,WardJo00,3.3
184,Giovani Bernard,30,rb,12,0,58,0,3,24,1,BernGi00,3.8
185,Michael Burton,29,rb,16,0,26,1,8,7,0,BurtMi00,8.6
186,Jake Fromm,23,qb,3,2,65,0,4,27,2,FromJa00,2.5
187,Mecole Hardman,23,WR,17,8,46,0,2,24,3,HardMe00,-1.4
188,Chad Henne,36,qb,4,0,0,0,0,4,2,HennCh01,-4
189,Kyle Juszczyk*,30,FB,17,16,22,1,3,6,0,JuszKy00,8.2
190,D.J. Moore,24,WR,17,17,48,0,4,14,1,MoorD.00,2.8
191,La'Mical Perine,23,rb,4,0,31,0,1,14,0,PeriLa00,3.1
192,Robert Woods,29,WR,9,9,46,1,1,16,0,WoodRo02,10.6
193,Jamal Agnew,26,db,10,2,111,1,3,66,1,AgneJa00,15.1
194,Brandon Allen,29,qb,6,1,-1,0,1,3,1,AlleBr00,-2.1
195,Braxton Berrios+,26,wr,16,1,40,2,3,11,1,BerrBr00,14
196,Ja'Marr Chase*,21,WR,17,17,21,0,2,10,2,ChasJa00,-1.9
197,Devin Duvernay*+,24,wr,16,7,50,0,4,19,1,DuveDe00,3
198,Demetric Felton,23,wr,16,2,24,0,0,12,4,FeltDe00,-5.6
199,Mike Glennon,32,qb,6,4,33,1,2,13,6,GlenMi00,-2.7
200,Jalen Guyton,24,wr,16,2,34,0,2,21,1,GuytJa01,1.4
201,C.J. Ham,28,FB,17,8,34,0,3,30,0,HamxC.00,3.4
202,Amon-Ra St. Brown,22,WR,17,9,61,1,2,26,0,StxxAm00,12.1
203,P.J. Walker,26,qb,5,1,13,0,2,13,3,WalkPh00,-4.7
204,Justin Jefferson*,22,WR,17,17,14,0,1,11,1,JeffJu00,-0.6
205,Jarvis Landry,29,WR,12,12,40,2,4,16,3,LandJa00,10
206,Darnell Mooney,24,WR,17,14,32,1,2,15,0,MoonDa00,9.2
207,Scottie Phillips,24,rb,3,0,13,0,1,4,0,PhilSc01,1.3
208,Anthony Schwartz,21,wr,14,2,39,0,4,17,0,SchwAn00,3.9
209,Logan Woodside,26,qb,5,0,-6,0,0,-1,0,WoodLo00,-0.6
210,Brandon Aiyuk,23,WR,17,16,17,0,0,8,2,AiyuBr00,-2.3
211,Cam Akers,22,rb,1,0,3,0,0,2,0,AkerCa00,0.3
212,Alex Armah,27,0,11,2,21,0,4,9,0,ArmaAl00,2.1
213,Jakeem Grant*,29,0,15,0,33,0,2,13,3,GranJa00,-2.7
214,Deonte Harty,24,wr,13,1,41,0,1,22,2,HarrDe07,0.1
215,Buddy Howell,25,rb,10,0,11,0,0,4,0,HoweGr00,1.1
216,Diontae Johnson*,25,WR,16,14,53,0,2,25,2,JohnDi01,1.3
217,Elijah Moore,21,wr,11,6,54,1,3,19,0,MoorEl00,11.4
218,Michael Pittman Jr.,24,WR,17,17,44,0,1,25,1,PittMi01,2.4
219,Mason Rudolph,26,qb,2,1,53,0,3,26,1,RudoMa00,3.3
220,Jaylen Samuels,25,te,3,0,9,0,0,3,0,SamuJa00,0.9
221,Mekhi Sargent,24,0,7,0,11,0,1,3,0,SargMe00,1.1
222,Wendell Smallwood,27,rb,3,0,25,0,2,13,0,SmalWe00,2.5
223,Freddie Swain,23,wr,17,8,32,0,2,11,1,SwaiFr00,1.2
224,Mike White,26,qb,4,3,-1,0,2,2,0,WhitMi01,-0.1
225,Kenjon Barner,32,rb,3,0,0,0,0,1,0,BarnKe00,0
226,Blake Bell,30,te,16,5,10,0,4,3,0,BellBl00,1
227,Mike Boone,26,rb,8,0,35,0,2,16,0,BoonMi00,3.5
228,D'Wayne Eskridge,24,wr,10,0,59,0,2,30,0,EskrDW00,5.9
229,Nick Foles,32,qb,1,1,8,0,1,8,1,FoleNi00,-1.2
230,Chris Godwin,25,WR,14,14,21,1,4,9,2,GodwCh00,4.1
231,JaQuan Hardy,24,rb,3,0,29,1,1,22,0,HardJa01,8.9
232,Cooper Kupp*+,28,WR,17,17,18,0,1,18,0,KuppCo00,1.8
233,Kalif Raymond,27,WR,16,14,28,0,2,13,0,RaymKa00,2.8
234,Curtis Samuel,25,wr,5,1,11,0,0,8,0,SamuCu00,1.1
235,Dwayne Washington,27,rb,14,0,16,0,0,5,0,WashDw00,1.6
236,Albert Wilson,29,wr,14,5,17,0,1,14,0,WilsAl02,1.7
237,Nelson Agholor,28,WR,15,13,11,0,0,6,0,AghoNe00,1.1
238,Robbie Anderson,28,WR,17,16,36,0,1,30,0,AndeRo04,3.6
239,Tavon Austin,31,wr,13,3,21,0,1,8,1,AustTa00,0.1
240,Khari Blasingame,25,rb,11,3,6,0,1,3,1,BlasKh00,-1.4
241,Ian Book,23,qb,1,1,6,0,1,3,0,BookIa00,0.6
242,Jason Cabinda,25,lb,14,4,23,0,2,21,0,CabiJa00,2.3
243,Trenton Cannon,27,0,12,0,4,0,0,3,1,CannTr00,-1.6
244,Damarea Crockett,24,rb,12,0,7,0,0,6,0,CrocDa01,0.7
245,Ashton Dulin,24,wr,17,1,32,0,1,37,0,DuliAs00,3.2
246,Sam Ehlinger,23,qb,3,0,9,0,1,9,0,EhliSa00,0.9
247,Gerald Everett,27,TE,15,12,20,0,2,13,2,EverGe00,-2
248,Feleipe Franks,24,qb,9,0,6,0,0,4,0,FranFe00,0.6
249,Reggie Gilliam,24,fb,16,5,3,0,0,2,0,GillRe00,0.3
250,George Kittle*,28,TE,14,14,20,0,0,9,2,KittGe00,-2
251,Allen Lazard,26,WR,15,13,32,0,2,14,0,LazaAl00,3.2
252,Anthony McFarland Jr.,22,rb,2,0,3,0,0,3,0,McFaAn00,0.3
253,Gabe Nabers,24,fb,10,1,8,0,1,4,0,NabeGa00,0.8
254,Adam Prentice,24,fb,7,3,5,0,2,2,0,PrenAd00,0.5
255,Hunter Renfrow*,26,WR,17,9,3,0,0,5,5,RenfHu00,-9.7
256,Andre Roberts,33,0,16,0,19,0,0,9,3,RobeAn00,-4.1
257,Henry Ruggs III,22,wr,7,7,16,0,0,7,0,RuggHe00,1.6
258,JuJu Smith-Schuster,25,wr,5,5,9,1,1,3,0,SmitJu00,6.9
259,Equanimeous St. Brown,25,wr,13,2,14,0,2,13,0,St.BEq00,1.4
260,Johnny Stanton,27,rb,4,0,5,0,2,3,0,StanJo02,0.5
261,Chris Streveler,26,qb,2,0,6,0,0,4,1,StreCh00,-1.4
262,Kadarius Toney,22,wr,10,4,6,0,0,7,0,ToneKa00,0.6
263,Tommy Tremble,21,TE,16,11,11,1,1,7,0,TremTo00,7.1
264,Kyle Allen,25,qb,2,0,11,0,1,11,1,AlleKy00,-0.9
265,Cameron Batson,26,wr,4,0,15,0,1,11,0,BatsCa00,1.5
266,Odell Beckham Jr.,29,0,14,13,14,0,1,10,0,BeckOd00,1.4
267,Kurt Benkert,26,qb,1,0,-1,0,0,0,0,BenkKu01,-0.1
268,Tyler Boyd,27,wr,16,10,22,0,1,14,1,BoydTy00,0.2
269,Tim Boyle,27,qb,5,3,13,0,1,14,1,BoylTi00,-0.7
270,A.J. Brown,24,WR,13,13,10,0,1,7,0,BrowAJ00,1
271,Brandin Cooks,28,WR,16,16,21,0,1,16,0,CookBr00,2.1
272,Chase Daniel,35,qb,1,0,-2,0,0,-1,0,DaniCh00,-0.2
273,Darrynton Evans,23,rb,1,0,7,0,0,5,0,EvanDa02,0.7
274,Joe Flacco,36,qb,2,1,3,0,1,2,1,FlacJo00,-1.7
275,Jake Funk,23,rb,10,0,5,0,0,6,0,FunkJa00,0.5
276,Marquise Goodwin,31,wr,14,2,-1,0,0,1,1,GoodMa00,-2.1
277,Alec Ingold,25,fb,9,3,1,0,1,1,0,IngoAl01,0.1
278,Andy Janovich,28,rb,13,3,0,1,1,1,0,JanoAn00,6
279,Van Jefferson,25,WR,17,17,20,0,1,10,0,JeffVa00,2
280,Jerry Jeudy,22,wr,10,5,3,0,0,3,1,JeudJe00,-1.7
281,Marcus Johnson,27,wr,7,3,-2,0,1,5,0,JohnMa07,-0.2
282,Zay Jones,26,WR,17,9,3,0,0,4,1,JoneZa00,-1.7
283,Travis Kelce*,32,TE,16,16,3,1,1,4,1,KelcTr00,4.3
284,John Kelly,25,rb,4,0,13,0,1,11,0,KellJo00,1.3
285,Dallin Leavitt,27,db,16,1,6,0,2,4,0,LeavDa00,0.6
286,Tyler Lockett,29,WR,16,16,9,0,0,7,0,LockTy00,0.9
287,Sean Mannion,29,qb,1,1,14,0,2,11,0,MannSe00,1.4
288,Ray-Ray McCloud,25,wr,16,5,15,0,0,10,4,McClRa00,-6.5
289,Scott Miller,24,wr,9,0,43,1,2,33,0,MillSc01,10.3
290,Raheem Mostert,29,rb,1,1,20,0,1,11,0,MostRa00,2
291,Zach Pascal,27,WR,16,13,21,0,0,12,1,PascZa00,0.1
292,Jacques Patrick,24,rb,2,0,12,0,1,8,0,PatrJa01,1.2
293,Nathan Peterman,27,qb,1,0,2,0,1,1,0,PeteNa00,0.2
294,Patrick Ricard*,27,FB,13,11,4,0,2,2,0,RicaPa00,0.4
295,Emmanuel Sanders,34,WR,14,13,31,0,2,24,0,SandEm00,3.1
296,Durham Smythe,26,TE,17,12,3,0,2,2,0,SmytDu00,0.3
297,Jaylen Waddle,23,WR,16,16,3,1,1,2,2,WaddJa00,2.3
298,James Washington,25,wr,15,2,13,0,0,12,0,WashJa00,1.3
299,Davis Webb,26,qb,1,0,-3,0,0,-1,0,WebbDa00,-0.3
300,Cedrick Wilson Jr.,26,wr,16,4,11,0,1,6,3,WilsCe01,-4.9
301,John Wolford,26,qb,3,0,-1,0,0,0,0,WolfJo00,-0.1
302,Jordan Akins,29,te,13,3,3,0,1,3,2,AkinJo00,-3.7
303,Mark Andrews*+,26,TE,17,9,0,0,0,0,1,AndrMa00,-2
304,Alex Bachman,25,wr,3,0,-3,0,0,-3,0,BachAl00,-0.3
305,C.J. Beathard,28,qb,2,0,2,0,0,2,0,BeatC.00,0.2
306,David Blough,26,qb,1,0,6,0,0,6,1,BlouDa00,-1.4
307,C.J. Board,28,wr,6,1,6,0,0,6,0,BoarC.00,0.6
308,Reggie Bonnafon,25,rb,4,0,4,0,0,4,0,BonnRe00,0.4
309,Gary Brightwell,22,rb,13,0,4,0,0,4,0,BrigGa00,0.4
310,Antonio Brown,33,wr,7,3,6,0,0,6,0,BrowAn04,0.6
311,Dyami Brown,22,WR,15,6,-4,0,0,-4,0,BrowDy00,-0.4
312,Marquise Brown,24,WR,16,16,5,0,1,5,3,BrowMa04,-5.5
313,Sean Chandler,25,SS,15,7,14,0,1,14,0,ChanSe00,1.4
314,Randall Cobb,31,wr,12,3,1,0,0,1,1,CobbRa00,-1.9
315,Chris Conley,29,WR,16,10,3,0,1,3,1,ConlCh00,-1.7
316,Pharoh Cooper,26,wr,8,0,3,0,0,3,0,CoopPh00,0.3
317,Nathan Cottrell,25,rb,4,0,3,0,0,3,0,CottNa00,0.3
318,Jaelon Darden,22,wr,9,0,11,0,1,11,0,DardJa00,1.1
319,Phillip Dorsett,28,0,6,0,0,0,0,0,0,DorsPh00,0
320,Greg Dortch,23,wr,5,2,24,0,1,24,0,DortGr01,2.4
321,Eric Ebron,28,te,8,3,1,1,1,1,0,EbroEr00,6.1
322,Bryan Edwards,23,WR,16,12,0,0,0,0,1,EdwaBr01,-2
323,Evan Engram,27,TE,15,12,-3,0,0,-3,1,EngrEv00,-2.3
324,Zach Ertz,31,0,17,14,4,0,0,4,0,ErtzZa00,0.4
325,Mike Evans*,28,WR,16,16,10,0,1,10,0,EvanMi00,1
326,Clayton Fejedelem,28,db,17,0,0,0,0,0,1,FejeCl00,-2
327,Maurice Ffrench,23,wr,3,0,3,0,0,3,0,FfreMa00,0.3
328,Ryan Fitzpatrick,39,qb,1,1,2,0,0,2,1,FitzRy00,-1.8
329,Jamie Gillan,24,p,12,0,0,0,0,-8,1,GillJa00,-2
330,Cyril Grayson,28,wr,5,3,14,0,1,14,0,GrayCy01,1.4
331,Johnny Hekker,31,p,17,0,0,0,0,0,1,HekkJo00,-2
332,DeSean Jackson,35,0,16,4,4,0,0,4,1,JackDe00,-1.6
333,Christian Kirk,25,WR,17,11,11,0,1,11,0,KirkCh01,1.1
334,Cole Kmet,22,TE,17,17,0,0,0,0,0,KmetCo00,0
335,Patrick Laird,26,rb,6,0,4,0,0,4,0,LairPa00,0.4
336,Andy Lee,39,p,16,0,0,0,0,0,3,LeexAn20,-6
337,Braden Mann,24,p,10,0,4,0,0,4,0,MannBr01,0.4
338,Nate McCrary,22,rb,1,0,-1,0,0,-1,0,McCrNa00,-0.1
339,Terry McLaurin,26,WR,17,17,12,0,1,12,0,McLaTe00,1.2
340,D.K. Metcalf,24,WR,17,17,6,0,0,6,1,MetcDK00,-1.4
341,Jakobi Meyers,25,WR,17,16,9,0,0,9,1,MeyeJa01,-1.1
