,Player,Age,Pos,G,GS,Ctch%,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Fmb,Player-additional,points
0,Cooper Kupp*+,28,WR,17,17,75.90%,1947,13.4,16,89,59,8.5,114.5,0,KuppCo00,435.7
1,Davante Adams*+,29,WR,16,16,72.80%,1553,12.6,11,84,59,7.7,97.1,0,AdamDa01,344.3
2,Tyreek Hill*,27,WR,17,16,69.80%,1239,11.2,9,75,75,6.5,72.9,2,HillTy00,284.9
3,Justin Jefferson*,22,WR,17,17,64.70%,1616,15.0,10,75,56,6.4,95.1,1,JeffJu00,327.6
4,Mark Andrews*+,26,TE,17,9,69.90%,1361,12.7,9,75,43,6.3,80.1,1,AndrMa00,295.1
5,Diontae Johnson*,25,WR,16,14,63.30%,1161,10.9,8,59,50,6.7,72.6,2,JohnDi01,267.1
6,Keenan Allen*,29,WR,16,16,67.50%,1138,10.7,6,66,42,6.6,71.1,1,AlleKe00,253.8
7,Jaylen Waddle,23,WR,16,16,74.30%,1015,9.8,6,59,57,6.5,63.4,2,WaddJa00,237.5
8,Stefon Diggs*,28,WR,17,17,62.80%,1225,11.9,10,66,61,6.1,72.1,1,DiggSt00,283.5
9,Hunter Renfrow*,26,WR,17,9,80.50%,1038,10.1,9,51,54,6.1,61.1,5,RenfHu00,250.8
10,Chris Godwin,25,WR,14,14,77.20%,1103,11.3,5,55,44,7.0,78.8,2,GodwCh00,234.3
11,D.J. Moore,24,WR,17,17,57.10%,1157,12.4,4,60,64,5.5,68.1,1,MoorD.00,230.7
12,Travis Kelce*,32,TE,16,16,68.70%,1125,12.2,9,63,69,5.8,70.3,1,KelcTr00,256.5
13,Marquise Brown,24,WR,16,16,62.30%,1008,11.1,6,41,49,5.7,63.0,3,BrowMa04,221.8
14,Brandin Cooks,28,WR,16,16,67.20%,1037,11.5,6,45,52,5.6,64.8,0,CookBr00,229.7
15,Amon-Ra St. Brown,22,WR,17,9,75.60%,912,10.1,5,48,37,5.3,53.6,0,StxxAm00,211.2
16,Michael Pittman Jr.,24,WR,17,17,68.20%,1082,12.3,6,54,57,5.2,63.6,1,PittMi01,230.2
17,Jakobi Meyers,25,WR,17,16,65.90%,866,10.4,2,42,39,4.9,50.9,1,MeyeJa01,179.6
18,Cole Beasley,32,WR,16,8,73.20%,693,8.5,1,34,29,5.1,43.3,1,BeasCo00,155.3
19,Ja'Marr Chase*,21,WR,17,17,63.30%,1455,18.0,13,56,82,4.8,85.6,2,ChasJa00,300.5
20,Darnell Mooney,24,WR,17,14,57.90%,1055,13.0,4,49,64,4.8,62.1,0,MoonDa00,210.5
21,CeeDee Lamb*,22,WR,16,13,65.80%,1102,13.9,6,54,49,4.9,68.9,0,LambCe00,225.2
22,Dalton Schultz,25,TE,17,15,75.00%,808,10.4,8,43,32,4.6,47.5,0,SchuDa00,206.8
23,Christian Kirk,25,WR,17,11,74.80%,982,12.8,5,44,50,4.5,57.8,0,KirkCh01,205.2
24,Terry McLaurin,26,WR,17,17,59.20%,1053,13.7,5,47,46,4.5,61.9,0,McLaTe00,212.3
25,Deebo Samuel*+,25,WR,16,15,63.60%,1405,18.2,6,51,83,4.8,87.8,4,SamuDe00,245.5
26,Mike Williams,27,WR,16,14,58.90%,1146,15.1,9,51,72,4.8,71.6,0,WillMi07,244.6
27,D.K. Metcalf,24,WR,17,17,58.10%,967,12.9,12,48,84,4.4,56.9,1,MetcDK00,241.7
28,Zach Ertz,31,0,17,14,66.10%,763,10.3,5,40,47,4.4,44.9,0,ErtzZa00,180.3
29,Mike Evans*,28,WR,16,16,64.90%,1035,14.0,14,56,46,4.6,64.7,0,EvanMi00,261.5
30,Najee Harris*,23,RB,17,17,78.70%,467,6.3,3,22,25,4.4,27.5,0,HarrNa00,138.7
31,Tee Higgins,22,WR,14,14,67.30%,1091,14.7,6,53,54,5.3,77.9,1,HiggTe00,217.1
32,Mike Gesicki,26,TE,17,9,65.20%,780,10.7,2,39,40,4.3,45.9,0,GesiMi00,163.0
33,Marvin Jones,31,WR,17,16,60.80%,832,11.4,4,42,33,4.3,48.9,0,JoneMa02,180.2
34,Tyler Lockett,29,WR,16,16,68.20%,1175,16.1,8,41,69,4.6,73.4,0,LockTy00,238.5
35,George Kittle*,28,TE,14,14,75.50%,910,12.8,6,42,48,5.1,65.0,2,KittGe00,194.0
36,Austin Ekeler,26,RB,16,16,74.50%,647,9.2,8,31,40,4.4,40.4,4,EkelAu00,174.7
37,Leonard Fournette,26,RB,14,13,82.10%,454,6.6,2,30,23,4.9,32.4,1,FourLe00,124.4
38,Amari Cooper,27,WR,15,14,65.40%,865,12.7,8,45,41,4.5,57.7,1,CoopAm00,200.5
39,Noah Fant,24,TE,16,16,75.60%,670,9.9,4,29,35,4.3,41.9,0,FantNo00,159.0
40,Kyle Pitts*,21,TE,17,15,61.80%,1026,15.1,1,43,61,4.0,60.4,0,PittKy00,176.6
41,Tyler Boyd,27,wr,16,10,71.30%,828,12.4,5,37,68,4.2,51.8,1,BoydTy00,177.8
42,Adam Thielen,31,WR,13,13,70.50%,726,10.8,10,37,35,5.2,55.8,1,ThieAd00,197.6
43,Russell Gage,25,WR,14,9,70.20%,770,11.7,4,37,49,4.7,55.0,2,GageRu00,163.0
44,DeVonta Smith,23,WR,17,16,61.50%,916,14.3,5,43,46,3.8,53.9,1,SmitDe07,183.6
45,A.J. Brown,24,WR,13,13,60.00%,869,13.8,5,45,57,4.8,66.8,0,BrowAJ00,179.9
46,Laviska Shenault Jr.,23,WR,16,10,63.00%,619,9.8,0,30,58,3.9,38.7,1,ShenLa00,122.9
47,D'Andre Swift,22,rb,13,4,79.50%,452,7.3,2,18,63,4.8,34.8,2,SwifDA00,115.2
48,Tyler Conklin,26,TE,17,15,70.10%,593,9.7,3,26,40,3.6,34.9,1,ConkTy00,136.3
49,Tyler Higbee,28,TE,15,15,71.80%,560,9.2,5,33,37,4.1,37.3,1,HigbTy00,145.0
50,T.J. Hockenson,24,TE,12,12,72.60%,583,9.6,4,32,33,5.1,48.6,0,HockTJ00,143.3
51,Pat Freiermuth,23,TE,16,9,75.90%,497,8.3,7,34,24,3.8,31.1,1,FreiPa00,149.7
52,Cole Kmet,22,TE,17,17,64.50%,612,10.2,0,29,25,3.5,36.0,0,KmetCo00,121.2
53,Chase Claypool,23,WR,15,13,56.20%,860,14.6,2,35,59,3.9,57.3,0,ClayCh01,157.0
54,Mecole Hardman,23,WR,17,8,71.10%,693,11.7,2,33,53,3.5,40.8,3,HardMe00,134.3
55,Courtland Sutton,26,WR,17,16,59.20%,776,13.4,2,35,55,3.4,45.6,0,SuttCo00,147.6
56,Brandon Aiyuk,23,WR,17,16,66.70%,826,14.8,5,37,43,3.3,48.6,2,AiyuBr00,164.6
57,Dallas Goedert,26,TE,15,14,73.70%,830,14.8,4,42,45,3.7,55.3,1,GoedDa00,161.0
58,Kendrick Bourne,26,wr,17,5,78.60%,800,14.5,5,27,75,3.2,47.1,1,BourKe00,163.0
59,Rob Gronkowski,32,TE,12,12,61.80%,802,14.6,6,34,42,4.6,66.8,0,GronRo00,171.2
60,Darren Waller,29,TE,11,11,59.10%,665,12.1,2,31,33,5.0,60.5,0,WallDa01,133.5
61,A.J. Green,33,WR,16,9,58.70%,848,15.7,3,37,42,3.4,53.0,0,GreeA.00,156.8
62,Josh Jacobs,23,RB,15,14,84.40%,348,6.4,0,14,29,3.6,23.2,2,JacoJo01,84.8
63,Rondale Moore,21,wr,14,7,84.40%,435,8.1,1,18,77,3.9,31.1,3,MoorRo02,97.5
64,Robbie Anderson,28,WR,17,16,48.20%,519,9.8,5,27,57,3.1,30.5,0,AndeRo04,134.9
65,Tim Patrick,28,WR,16,16,62.40%,734,13.8,5,39,44,3.3,45.9,0,PatrTi00,156.4
66,Aaron Jones,27,RB,15,15,80.00%,391,7.5,6,22,26,3.5,26.1,2,JoneAa00,123.1
67,Jarvis Landry,29,WR,12,12,59.80%,570,11.0,2,30,38,4.3,47.5,3,LandJa00,115.0
68,Cordarrelle Patterson,30,RB,16,13,75.40%,548,10.5,5,26,64,3.3,34.3,2,PattCo00,132.8
69,Jamison Crowder,28,wr,12,4,71.80%,447,8.8,2,24,29,4.3,37.3,1,CrowJa00,105.7
70,Hunter Henry,27,te,17,10,66.70%,603,12.1,9,34,35,2.9,35.5,0,HenrHu00,164.3
71,Van Jefferson,25,WR,17,17,56.20%,802,16.0,6,32,79,2.9,47.2,0,JeffVa00,166.2
72,K.J. Osborn,24,wr,17,9,61.00%,655,13.1,7,26,64,2.9,38.5,0,OsboKJ00,157.5
73,Myles Gaskin,24,RB,17,10,77.80%,234,4.8,4,13,24,2.9,13.8,2,GaskMy00,92.4
74,Dawson Knox,25,TE,15,14,69.00%,587,12.0,9,31,53,3.3,39.1,0,KnoxDa00,161.7
75,C.J. Uzomah,28,TE,16,16,77.80%,493,10.1,5,24,55,3.1,30.8,0,UzomC.00,128.3
76,Jared Cook,34,TE,16,10,57.80%,564,11.8,4,31,42,3.0,35.3,0,CookJa02,128.4
77,Gerald Everett,27,TE,15,12,76.20%,478,10.0,4,26,41,3.2,31.9,2,EverGe00,115.8
78,Kalif Raymond,27,WR,16,14,67.60%,576,12.0,4,28,75,3.0,36.0,0,RaymKa00,129.6
79,Ezekiel Elliott,26,RB,17,17,72.30%,287,6.1,2,17,21,2.8,16.9,1,ElliEz00,85.7
80,Zay Jones,26,WR,17,9,67.10%,546,11.6,1,29,43,2.8,32.1,1,JoneZa00,105.6
81,Alvin Kamara*,26,RB,13,10,70.10%,439,9.3,5,20,31,3.6,33.8,0,KamaAl00,120.9
82,Darrel Williams,26,rb,17,7,82.50%,452,9.6,2,19,38,2.8,26.6,0,WillDa10,104.2
83,Rashod Bateman,22,wr,12,4,67.60%,515,11.2,1,29,36,3.8,42.9,0,BateRa00,103.5
84,Braxton Berrios+,26,wr,16,1,70.80%,431,9.4,2,21,46,2.9,26.9,1,BerrBr00,99.1
85,Marquez Callaway,23,WR,17,11,54.80%,698,15.2,6,32,58,2.7,41.1,0,CallMa01,151.8
86,Evan Engram,27,TE,15,12,63.00%,408,8.9,3,21,30,3.1,27.2,1,EngrEv00,102.8
87,Cedrick Wilson Jr.,26,wr,16,4,73.80%,602,13.4,6,27,73,2.8,37.6,3,WilsCe01,135.2
88,Robert Woods,29,WR,9,9,65.20%,556,12.4,4,34,28,5.0,61.8,0,WoodRo02,124.6
89,Odell Beckham Jr.,29,0,14,13,53.70%,537,12.2,5,27,54,3.1,38.4,0,BeckOd00,127.7
90,Mike Davis,28,rb,17,8,75.90%,259,5.9,1,12,20,2.6,15.2,4,DaviMi01,67.9
91,Chase Edmonds,25,RB,12,11,81.10%,311,7.2,0,11,36,3.6,25.9,1,EdmoCh00,72.1
92,J.D. McKissic,28,wr,11,3,81.10%,397,9.2,2,15,56,3.9,36.1,0,McKiJ.00,94.7
