,Player,Age,Pos,G,GS,Ctch%,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Fmb,Player-additional,points
344,Tarik Cohen,25,rb,3,0,66.70%,41,6.8,0,1,20,2.0,13.7,0.0,CoheTa00,10.1
345,River Cracraft,26,wr,9,1,66.70%,41,6.8,0,2,12,0.7,4.6,0.0,CracRi00,10.1
346,Mark Ingram,31,RB,11,9,75.00%,50,8.3,0,2,18,0.5,4.5,0.0,IngrMa01,11.0
347,Alshon Jeffery,30,wr,7,2,46.20%,115,19.2,1,5,39,0.9,16.4,0.0,JeffAl00,23.5
348,Nick Keizer,25,te,16,3,66.70%,63,10.5,0,2,22,0.4,3.9,1.0,KeizNi00,10.3
349,Chris Manhertz,28,TE,16,12,75.00%,52,8.7,0,1,17,0.4,3.3,0.0,ManhCh00,11.2
350,Anthony McFarland Jr.,21,rb,11,0,66.70%,54,9.0,0,1,17,0.5,4.9,0.0,McFaAn00,11.4
351,Laquon Treadwell,25,wr,5,0,85.70%,49,8.2,2,4,14,1.2,9.8,0.0,TreaLa00,22.9
352,Javon Wims,26,wr,13,1,50.00%,48,8.0,1,4,13,0.5,3.7,0.0,WimsJa00,16.8
353,Alex Armah,26,fb,16,1,55.60%,18,3.6,0,1,14,0.3,1.1,0.0,ArmaAl00,6.8
354,Tavon Austin,30,wr,4,0,100.00%,20,4.0,0,1,7,1.3,5.0,1.0,AustTa00,5.0
355,Ja'Marcus Bradley,24,wr,3,1,45.50%,60,12.0,0,2,22,1.7,20.0,0.0,BradJa01,11.0
356,Cethan Carter,25,TE,15,5,71.40%,53,10.6,0,3,24,0.3,3.5,0.0,CartCe00,10.3
357,Corey Clement,26,rb,15,0,83.30%,25,5.0,0,2,12,0.3,1.7,0.0,ClemCo00,7.5
358,Pharoh Cooper,25,wr,16,1,62.50%,73,14.6,0,3,32,0.3,4.6,1.0,CoopPh00,10.3
359,Damien Harris,23,RB,10,10,71.40%,52,10.4,0,4,15,0.5,5.2,1.0,HarrDa06,8.2
360,Justice Hill,23,rb,12,0,100.00%,20,4.0,0,0,8,0.4,1.7,0.0,HillJu00,7.0
361,Steven Mitchell,26,wr,6,1,62.50%,60,12.0,0,3,20,0.8,10.0,0.0,MitcSt02,11.0
362,Gabe Nabers,23,fb,16,5,71.40%,25,5.0,2,2,9,0.3,1.6,0.0,NabeGa00,19.5
363,Gunner Olszewski+,24,wr,13,2,100.00%,62,12.4,1,3,38,0.4,4.8,1.0,OlszGu00,15.2
364,C.J. Prosise,26,rb,10,0,100.00%,18,3.6,1,1,10,0.5,1.8,1.0,ProsC.00,10.8
365,MyCole Pruitt,28,te,11,4,62.50%,49,9.8,2,4,22,0.5,4.5,0.0,PruiMy00,21.9
366,Theo Riddick,29,rb,4,0,83.30%,43,8.6,0,1,15,1.3,10.8,0.0,RiddTh00,9.3
367,Darrius Shepherd,25,wr,8,0,62.50%,46,9.2,0,1,19,0.6,5.8,1.0,ShepDa00,7.6
368,Trent Sherfield,24,wr,15,1,71.40%,50,10.0,0,2,26,0.3,3.3,0.0,SherTr00,10.0
369,Malik Taylor,25,wr,15,1,83.30%,66,13.2,1,4,26,0.3,4.4,0.0,TaylMa01,17.6
370,Levine Toilolo,29,te,16,2,83.30%,46,9.2,0,3,14,0.3,2.9,0.0,ToilLe00,9.6
371,Ke'Shawn Vaughn,23,rb,10,0,50.00%,34,6.8,1,2,13,0.5,3.4,1.0,VaugKe00,12.4
372,DeAndre Washington,27,0,4,1,50.00%,30,6.0,0,2,10,1.3,7.5,0.0,WashDe00,8.0
373,Trayveon Williams,23,rb,10,0,100.00%,30,6.0,0,1,13,0.5,3.0,1.0,WillTr06,6.0
374,JJ Arcega-Whiteside,24,wr,8,0,50.00%,85,21.3,0,4,37,0.5,10.6,0.0,ArceJJ00,12.5
375,Peyton Barber,26,rb,16,2,57.10%,12,3.0,0,1,7,0.3,0.8,0.0,BarbPe01,5.2
376,Khari Blasingame,24,FB,15,7,80.00%,39,9.8,0,2,16,0.3,2.6,0.0,BlasKh00,7.9
377,Michael Burton,28,rb,15,4,100.00%,28,7.0,0,1,12,0.3,1.9,0.0,BurtMi00,6.8
378,Tevin Coleman,27,rb,8,1,80.00%,34,8.5,0,2,18,0.5,4.3,0.0,ColeTe01,7.4
379,Juwan Johnson,24,wr,7,4,40.00%,39,9.8,0,3,19,0.6,5.6,0.0,JohnJu02,7.9
380,Josh Malone,24,wr,4,0,66.70%,16,4.0,0,1,13,1.0,4.0,0.0,MaloJo00,5.6
381,Johnny Mundt,26,te,16,1,100.00%,53,13.3,0,1,34,0.3,3.3,0.0,MundJo00,9.3
382,Dante Pettis,25,0,7,1,66.70%,76,19.0,1,3,33,0.6,10.9,1.0,PettDa00,15.6
383,Damion Ratley,25,wr,5,0,40.00%,63,15.8,0,2,29,0.8,12.6,1.0,RatlDa00,8.3
384,Riley Ridley,24,wr,5,1,100.00%,39,9.8,0,3,18,0.8,7.8,0.0,RidlRi00,7.9
385,Andre Roberts*,32,wr,15,0,80.00%,34,8.5,0,2,16,0.3,2.3,3.0,RobeAn00,1.4
386,Seth Roberts,29,wr,7,1,66.70%,31,7.8,0,2,12,0.6,4.4,0.0,RobeSe00,7.1
387,Lee Smith,33,te,10,2,66.70%,35,8.8,2,3,27,0.4,3.5,0.0,SmitLe00,19.5
388,Jonathan Williams,26,rb,5,0,100.00%,21,5.3,0,2,10,0.8,4.2,1.0,WillJo07,4.1
389,Deontay Burnett,23,wr,2,0,75.00%,19,6.3,0,1,10,1.5,9.5,0.0,BurnDe00,4.9
390,Trenton Cannon,26,rb,14,0,100.00%,16,5.3,0,1,19,0.2,1.1,0.0,CannTr00,4.6
391,Austin Carr,27,wr,6,0,75.00%,27,9.0,1,3,11,0.5,4.5,0.0,CarrAu00,11.7
392,Ashton Dulin,23,wr,13,0,50.00%,53,17.7,0,2,34,0.2,4.1,1.0,DuliAs00,6.3
393,Ted Ginn Jr.,35,wr,6,0,50.00%,40,13.3,0,1,29,0.5,6.7,1.0,GinnTe00,5.0
394,Terry Godwin,24,wr,3,0,50.00%,32,10.7,0,2,21,1.0,10.7,0.0,GodwTe00,6.2
395,Jaeden Graham,25,te,16,0,60.00%,25,8.3,0,1,11,0.2,1.6,0.0,GrahJa01,5.5
396,Virgil Green,32,te,6,3,50.00%,50,16.7,1,2,26,0.5,8.3,0.0,GreeVi00,14.0
397,Tanner Hudson,26,te,11,0,42.90%,41,13.7,0,3,20,0.3,3.7,0.0,HudsTa00,7.1
398,Lil'Jordan Humphrey,22,wr,3,1,60.00%,46,15.3,1,3,17,1.0,15.3,0.0,HumpLi01,13.6
399,D'Ernest Johnson,24,rb,16,0,75.00%,14,4.7,0,0,5,0.2,0.9,1.0,JohnDE04,2.4
400,Dalton Keene,21,te,6,0,60.00%,16,5.3,0,0,8,0.5,2.7,1.0,KeenDa00,2.6
401,Marlon Mack,24,rb,1,1,100.00%,30,10.0,0,1,19,3.0,30.0,0.0,MackMa00,6.0
402,Ty Montgomery,27,wr,6,1,50.00%,27,9.0,0,1,17,0.5,4.5,0.0,MontTy01,5.7
403,Alfred Morris,32,rb,9,0,75.00%,19,6.3,1,2,9,0.3,2.1,0.0,MorrAl00,10.9
404,Eric Saubert,26,te,8,4,75.00%,16,5.3,0,0,9,0.4,2.0,0.0,SaubEr00,4.6
405,Diontae Spencer,28,wr,11,0,50.00%,26,8.7,0,1,10,0.3,2.4,2.0,SpenDi00,1.6
406,Courtland Sutton,25,wr,1,1,50.00%,66,22.0,0,2,45,3.0,66.0,0.0,SuttCo00,9.6
407,Kahale Warring,23,te,7,0,42.90%,35,11.7,0,2,23,0.4,5.0,0.0,WarrKa00,6.5
408,Nick Westbrook-Ikhine,23,wr,14,1,37.50%,33,11.0,0,3,19,0.2,2.4,0.0,WestNi00,6.3
409,Charlie Woerner,23,te,14,0,75.00%,36,12.0,0,2,18,0.2,2.6,0.0,WoerCh00,6.6
410,Brandon Zylstra,27,wr,16,2,75.00%,35,11.7,0,3,28,0.2,2.2,0.0,ZylsBr00,6.5
411,Devin Asiasi,23,te,9,3,28.60%,39,19.5,1,2,26,0.2,4.3,0.0,AsiaDe00,11.9
412,Reggie Bonnafon,24,rb,2,0,100.00%,18,9.0,1,2,15,1.0,9.0,0.0,BonnRe00,9.8
413,Mike Boone,25,rb,16,0,100.00%,10,5.0,0,0,6,0.1,0.6,0.0,BoonMi00,3.0
414,Daniel Brown,28,wr,16,1,100.00%,31,15.5,0,2,18,0.1,1.9,0.0,BrowDa04,5.1
415,Jake Butt,25,te,5,1,50.00%,5,2.5,0,0,5,0.4,1.0,0.0,ButtJa00,2.5
