,Player,Age,Pos,G,GS,Ctch%,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Fmb,Player-additional,points
482,Aaron Rodgers*+,37,QB,16,16,100.00%,-6,-6.0,0,0,-6,0.1,-0.4,4.0,RodgAa00,-7.6
483,Jaleel Scott,25,wr,1,1,100.00%,16,16.0,0,1,16,1.0,16.0,0.0,ScotJa02,2.6
484,Anthony Sherman,32,rb,13,1,50.00%,5,5.0,1,1,5,0.1,0.4,0.0,SherAn00,7.5
485,Vyncint Smith,24,wr,7,0,33.30%,13,13.0,0,1,13,0.1,1.9,0.0,SmitVy00,2.3
486,Jeremy Sprinkle,26,TE,16,6,33.30%,6,6.0,0,0,6,0.1,0.4,0.0,SpriJe00,1.6
487,Ryan Tannehill,32,QB,16,16,100.00%,0,0.0,0,0,0,0.1,0.0,6.0,TannRy00,-11.0
488,J.J. Taylor,22,rb,6,0,50.00%,4,4.0,0,0,4,0.2,0.7,0.0,TaylJJ01,1.4
489,Jordan Thomas,24,0,6,0,50.00%,3,3.0,1,1,3,0.2,0.5,0.0,ThomJo05,7.3
490,Colin Thompson,27,te,15,4,50.00%,7,7.0,1,1,7,0.1,0.5,0.0,ThomCo03,7.7
491,Zeke Turner,24,db,16,0,100.00%,26,26.0,0,1,26,0.1,1.6,0.0,TurnZe00,3.6
492,Austin Walter,24,rb,4,0,100.00%,27,27.0,0,1,27,0.3,6.8,0.0,WaltAu00,3.7
493,Jonathan Ward,23,rb,14,0,100.00%,11,11.0,1,1,11,0.1,0.8,0.0,WardJo00,8.1
494,Trevon Wesco,25,0,12,4,50.00%,5,5.0,0,0,5,0.1,0.4,0.0,WescTr00,1.5
495,Dede Westbrook,27,wr,2,0,100.00%,4,4.0,0,0,4,0.5,2.0,1.0,WestDe00,-0.6
496,Antonio Williams,23,rb,1,0,100.00%,20,20.0,0,1,20,1.0,20.0,0.0,WillAn03,3.0
497,Luke Willson,30,0,8,0,33.30%,12,12.0,0,0,12,0.1,1.5,0.0,WillLu00,2.2
498,T.J. Yeldon,27,rb,3,0,25.00%,22,22.0,1,1,22,0.3,7.3,1.0,YeldT.00,7.2
499,Brandon Allen,28,qb,5,5,0.00%,0,0.0,0,0,0,0.0,0.0,1.0,AlleBr00,-2.0
500,Antony Auclair,27,te,8,2,0.00%,0,0.0,0,0,0,0.0,0.0,0.0,AuclAn00,0.0
501,Jeff Badet,26,wr,3,0,0.00%,0,0.0,0,0,0,0.0,0.0,0.0,BadeJe00,0.0
502,Kenjon Barner,31,rb,6,0,0.00%,0,0.0,0,0,0,0.0,0.0,0.0,BarnKe00,0.0
503,Aaron Brewer,23,c,12,1,0.00%,0,0.0,0,0,0,0.0,0.0,0.0,BrewAa01,0.0
504,Hakeem Butler,24,wr,2,0,0.00%,0,0.0,0,0,0,0.0,0.0,0.0,ButlHa00,0.0
505,Tyler Davis,23,te,8,0,0.00%,0,0.0,0,0,0,0.0,0.0,0.0,DaviTy02,0.0
506,Seth Devalve,27,te,4,0,0.00%,0,0.0,0,0,0,0.0,0.0,0.0,DevaSe00,0.0
507,Rico Gafford,24,db,3,0,0.00%,0,0.0,0,0,0,0.0,0.0,0.0,GaffRi00,0.0
508,Nick Gates,25,C,16,16,0.00%,0,0.0,0,0,0,0.0,0.0,0.0,GateNi00,0.0
509,C.J. Goodwin,30,db,16,0,0.00%,0,0.0,0,0,0,0.0,0.0,0.0,GoodC.00,0.0
510,Cyril Grayson,27,wr,3,0,0.00%,0,0.0,0,0,0,0.0,0.0,0.0,GrayCy01,0.0
511,Jerald Hawkins,27,t,13,0,0.00%,0,0.0,0,0,0,0.0,0.0,0.0,HawkJe00,0.0
512,J.P. Holtz,27,te,16,1,0.00%,0,0.0,0,0,0,0.0,0.0,0.0,HoltJ.01,0.0
513,Taiwan Jones,32,rb,13,0,0.00%,0,0.0,0,0,0,0.0,0.0,0.0,JoneTa00,0.0
514,Patrick Mahomes*,25,QB,15,15,0.00%,0,0.0,0,0,0,0.0,0.0,5.0,MahoPa00,-10.0
515,Kevin Rader,25,te,1,1,0.00%,0,0.0,0,0,0,0.0,0.0,0.0,RadeKe00,0.0
516,Joe Reed,22,wr,11,0,0.00%,0,0.0,0,0,0,0.0,0.0,0.0,ReedJo03,0.0
517,Mason Schreck,27,te,14,1,0.00%,0,0.0,0,0,0,0.0,0.0,0.0,SchrMa00,0.0
518,Ricky Seals-Jones,25,wr,2,0,0.00%,0,0.0,0,0,0,0.0,0.0,0.0,SealRi00,0.0
519,Tajae Sharpe,26,wr,4,0,0.00%,0,0.0,0,0,0,0.0,0.0,0.0,SharTa00,0.0
520,Matthew Stafford,32,QB,16,16,0.00%,0,0.0,0,0,0,0.0,0.0,2.0,StafMa00,-4.0
521,Taywan Taylor,25,wr,3,0,0.00%,0,0.0,0,0,0,0.0,0.0,0.0,TaylTa00,0.0
522,Noah Togiai,23,te,4,0,0.00%,0,0.0,0,0,0,0.0,0.0,0.0,TogiNo00,0.0
523,Eric Tomlinson,28,0,7,2,0.00%,0,0.0,0,0,0,0.0,0.0,0.0,TomlEr01,0.0
524,P.J. Walker,25,qb,4,1,0.00%,0,0.0,0,0,0,0.0,0.0,1.0,WalkPh00,-2.0
