,Player,Age,Pos,G,GS,Ctch%,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Fmb,Player-additional,points
0,Michael Thomas*+,26,WR,16,15,80.50%,1725,11.6,9,91,49,9.3,107.8,1.0,ThomMi05,373.5
1,Christian McCaffrey*+,23,RB,16,16,81.70%,1005,8.7,4,58,28,7.3,62.8,1.0,McCaCh01,238.5
2,Keenan Allen*,27,WR,16,16,69.80%,1199,11.5,6,63,45,6.5,74.9,0.0,AlleKe00,259.9
3,DeAndre Hopkins*+,27,WR,15,15,69.30%,1165,11.2,7,68,43,6.9,77.7,0.0,HopkDe00,262.5
4,Julian Edelman,33,WR,16,13,65.40%,1117,11.2,6,54,44,6.3,69.8,3.0,EdelJu00,241.7
5,Julio Jones*,30,WR,15,15,63.10%,1394,14.1,6,77,54,6.6,92.9,1.0,JoneJu02,272.4
6,Allen Robinson,26,WR,16,15,63.60%,1147,11.7,7,63,49,6.1,71.7,0.0,RobiAl02,254.7
7,Travis Kelce*,30,TE,16,16,71.30%,1229,12.7,5,65,47,6.1,76.8,1.0,KelcTr00,247.9
8,Cooper Kupp,26,WR,16,14,70.10%,1161,12.4,10,51,66,5.9,72.6,3.0,KuppCo00,264.1
9,Austin Ekeler,24,rb,16,8,85.20%,993,10.8,8,42,84,5.8,62.1,3.0,EkelAu00,233.3
10,Tyler Boyd,25,WR,16,15,60.80%,1046,11.6,5,51,47,5.6,65.4,2.0,BoydTy00,220.6
11,Darren Waller,27,TE,16,16,76.90%,1145,12.7,3,53,75,5.6,71.6,1.0,WallDa01,220.5
12,Robert Woods,27,WR,15,15,64.70%,1134,12.6,2,54,48,6.0,75.6,0.0,WoodRo02,215.4
13,Zach Ertz*,29,TE,15,15,65.20%,916,10.4,6,50,30,5.9,61.1,1.0,ErtzZa00,213.6
14,D.J. Moore,22,WR,15,15,64.40%,1175,13.5,4,63,52,5.8,78.3,2.0,MoorD.00,224.5
15,Chris Godwin*,23,WR,14,14,71.10%,1333,15.5,9,63,71,6.1,95.2,0.0,GodwCh00,273.3
16,George Kittle*+,26,TE,14,14,79.40%,1053,12.4,5,53,61,6.1,75.2,1.0,KittGe00,218.3
17,Davante Adams*,27,WR,12,12,65.40%,997,12.0,5,54,58,6.9,83.1,2.0,AdamDa01,208.7
18,Jarvis Landry*,27,WR,16,16,60.10%,1174,14.1,6,55,65,5.2,73.4,0.0,LandJa00,236.4
19,Tyler Lockett,27,WR,16,16,74.50%,1057,12.9,8,53,44,5.1,66.1,1.0,LockTy00,233.7
20,Alvin Kamara*,24,RB,14,9,83.50%,533,6.6,1,28,41,5.8,38.1,4.0,KamaAl00,132.3
21,Tarik Cohen,24,RB,16,11,76.00%,456,5.8,3,18,31,4.9,28.5,3.0,CoheTa00,136.6
22,Amari Cooper*,25,WR,16,16,66.40%,1189,15.1,8,54,53,4.9,74.3,0.0,CoopAm00,245.9
23,Jamison Crowder,26,WR,16,12,63.90%,833,10.7,6,41,41,4.9,52.1,0.0,CrowJa00,197.3
24,Leonard Fournette,24,RB,15,15,76.00%,522,6.9,0,23,27,5.1,34.8,1.0,FourLe00,126.2
25,Larry Fitzgerald,36,WR,16,16,68.80%,804,10.7,4,40,54,4.7,50.3,1.0,FitzLa00,177.4
26,Austin Hooper*,25,TE,13,10,77.30%,787,10.5,6,41,35,5.8,60.5,0.0,HoopAu00,189.7
27,Odell Beckham Jr.,27,WR,16,15,55.60%,1035,14.0,4,44,89,4.6,64.7,1.0,BeckOd00,199.5
28,DJ Chark*,23,WR,15,14,61.90%,1008,13.8,8,42,69,4.9,67.2,0.0,CharDJ00,221.8
29,John Brown,29,WR,15,15,62.60%,1060,14.7,6,53,53,4.8,70.7,0.0,BrowJo02,214.0
30,DeVante Parker,26,WR,16,14,56.30%,1202,16.7,9,58,51,4.5,75.1,0.0,ParkDe01,246.2
31,Courtland Sutton*,24,WR,16,14,58.10%,1112,15.4,6,50,70,4.5,69.5,2.0,SuttCo00,215.2
32,James White,27,rb,15,1,75.80%,645,9.0,5,31,59,4.8,43.0,1.0,WhitJa02,164.5
33,Tyler Higbee,26,TE,15,15,77.50%,734,10.6,3,36,33,4.6,48.9,0.0,HigbTy00,160.4
34,Christian Kirk,23,WR,13,13,63.00%,709,10.4,3,31,69,5.2,54.5,0.0,KirkCh01,156.9
35,Cole Beasley,30,WR,15,10,63.20%,778,11.6,6,37,51,4.5,51.9,0.0,BeasCo00,180.8
36,Mike Evans*,26,WR,13,13,56.80%,1157,17.3,8,54,67,5.2,89.0,0.0,EvanMi00,230.7
37,Le'Veon Bell,27,RB,15,15,84.60%,461,7.0,1,20,23,4.4,30.7,1.0,BellLe00,116.1
38,Michael Gallup,23,WR,14,12,58.40%,1107,16.8,6,50,62,4.7,79.1,0.0,GallMi00,212.7
39,Emmanuel Sanders,32,0,17,16,68.00%,869,13.2,5,41,75,3.9,51.1,0.0,SandEm00,182.9
40,Dede Westbrook,26,WR,15,11,65.30%,660,10.0,3,31,39,4.4,44.0,1.0,WestDe00,148.0
41,Kenny Golladay*,26,WR,16,16,56.00%,1190,18.3,11,52,75,4.1,74.4,1.0,GollKe00,248.0
42,Mark Andrews*,24,te,15,4,65.30%,852,13.3,10,44,51,4.3,56.8,2.0,AndrMa00,205.2
43,Stefon Diggs,26,WR,15,15,67.00%,1130,17.9,6,41,66,4.2,75.3,4.0,DiggSt00,204.0
44,Calvin Ridley,25,WR,13,10,67.70%,866,13.7,7,47,36,4.8,66.6,0.0,RidlCa00,191.6
45,Jason Witten,37,TE,16,16,75.90%,529,8.4,4,27,33,3.9,33.1,1.0,WittJa00,137.9
46,Danny Amendola,34,WR,15,10,63.90%,678,10.9,1,36,47,4.1,45.2,0.0,AmenDa00,135.8
47,Marvin Jones,29,WR,13,11,68.10%,779,12.6,9,41,47,4.8,59.9,0.0,JoneMa02,193.9
48,Devonta Freeman,27,RB,14,14,84.30%,410,6.9,4,17,28,4.2,29.3,3.0,FreeDe00,118.0
49,Diontae Johnson,23,WR,16,12,64.10%,680,11.5,5,31,45,3.7,42.5,5.0,JohnDi01,147.0
50,Mohamed Sanu,30,0,15,12,66.30%,520,8.8,2,30,28,3.9,34.7,0.0,SanuMo00,123.0
51,Dallas Goedert,24,TE,15,9,66.70%,607,10.5,5,33,28,3.9,40.5,2.0,GoedDa00,144.7
