player,age,pos,g,gs,ctch,yds,yr,td,d,lng,rg,yg,fmb,player_additional,points
David Blough,24,qb,5,5,100.00%,19,19,1,1,19,0.2,3.8,1,BlouDa00,
Jay Ajayi,26,rb,3,0,0.00%,0,0,0,0,0,0,0,0,AjayJa00,
Paul Richardson,27,WR,10,6,66.70%,245,8.8,2,13,22,2.8,24.5,0,RichPa01,
Rashard Davis,24,wr,1,0,100.00%,16,16,0,1,16,1,16,0,DaviRa01,
Derrius Guice,22,rb,5,1,77.80%,79,11.3,1,2,45,1.4,15.8,0,GuicDe00,
Michael Deiter,23,LG,16,15,100.00%,0,0,0,0,0,0.1,0,0,DeitMi00,
Stanley Morgan Jr.,23,wr,11,0,30.00%,18,6,0,0,9,0.3,1.6,0,MorgSt02,
Chris Moore,26,wr,14,1,60.00%,21,7,0,0,13,0.2,1.5,0,MoorCh00,
Garrett Bradbury,24,C,16,16,100.00%,-4,-4,0,0,-4,0.1,-0.3,0,BradGa00,
Tyrone Swoopes,25,te,5,2,100.00%,5,5,0,0,5,0.2,1,0,SwooTy00,
Chester Rogers,25,wr,12,6,57.10%,179,11.2,2,11,27,1.3,14.9,2,RogeCh02,
Nick O'Leary,27,0,12,5,72.20%,109,8.4,1,4,19,1.1,9.1,1,OLeaNi00,
DeAndrew White,28,wr,10,0,44.40%,51,12.8,0,3,18,0.4,5.1,0,WhitDe01,
Ben Watson,39,te,10,8,70.80%,173,10.2,0,9,26,1.7,17.3,0,WatsBe00,
Ben Koyack,26,te,11,6,33.30%,9,9,0,0,9,0.1,0.8,0,KoyaBe00,
De'Anthony Thomas,26,0,14,0,50.00%,6,6,0,0,6,0.1,0.4,3,ThomDe05,
Cody Core,25,wr,16,0,60.00%,28,9.3,0,2,11,0.2,1.8,0,CoreCo00,
Kerrith Whyte Jr,23,rb,6,0,100.00%,9,9,0,1,9,0.2,1.5,0,WhytKe00,
Dwayne Harris,32,wr,3,0,100.00%,7,7,0,0,7,0.3,2.3,0,HarrDw00,
Xavier Grimble,27,te,3,1,33.30%,3,3,0,0,3,0.3,1,0,GrimXa00,
Sean Culkin,26,te,4,2,50.00%,12,12,0,1,12,0.3,3,0,CulkSe00,
Malik Turner,23,wr,15,3,68.20%,245,16.3,1,10,33,1,16.3,0,TurnMa00,
Chad Williams,25,wr,1,0,0.00%,0,0,0,0,0,0,0,0,WillCh05,
Demaryius Thomas,32,WR,11,10,62.10%,433,12,1,22,47,3.3,39.4,0,ThomDe03,
Matt LaCosse,27,TE,11,8,68.40%,131,10.1,1,6,24,1.2,11.9,0,LaCoMa00,
Tra Carson,27,0,3,1,100.00%,18,4.5,0,0,8,1.3,6,0,CarsTr01,
Lance Kendricks,31,te,12,1,42.90%,50,16.7,0,3,24,0.3,4.2,0,KendLa00,
Marcell Ateman,25,wr,11,0,50.00%,116,23.2,0,4,36,0.5,10.5,1,AtemMa00,
Geronimo Allison,25,wr,16,6,61.80%,287,8.4,2,16,31,2.1,17.9,2,AlliGe01,
Andre Patton,25,WR,13,5,35.30%,56,9.3,0,4,15,0.5,4.3,0,PattAn00,
Tyrell Williams,27,WR,14,12,65.60%,651,15.5,6,33,46,3,46.5,0,WillTy00,
Tommy Sweeney,24,te,6,1,61.50%,114,14.3,0,4,29,1.3,19,0,SweeTo00,
Christian Wilkins,24,RDE,16,14,100.00%,1,1,1,1,1,0.1,0.1,1,WilkCh00,
Keelan Doss,23,wr,8,2,78.60%,133,12.1,0,6,31,1.4,16.6,0,DossKe00,
Deon Lacey,29,lb,16,0,0.00%,0,0,0,0,0,0,0,0,LaceDe00,
Jordan Matthews,27,0,3,1,33.30%,33,8.3,0,1,10,1.3,11,0,MattJo00,
David Long,21,db,8,0,0.00%,0,0,0,0,0,0,0,0,LongDa02,
Andrew Beck,23,te,16,6,75.00%,90,10,1,6,29,0.6,5.6,0,BeckAn01,
