player,age,pos,g,gs,ctch,yds,yr,td,d,lng,rg,yg,fmb,player_additional,points
David Johnson,28,rb,13,9,76.60%,370,10.3,4,17,31,2.8,28.5,1,JohnDa08,72.4
Allen Lazard,24,wr,16,3,67.30%,477,13.6,3,24,43,2.2,29.8,0,LazaAl00,96.1
Scott Miller,22,wr,10,2,50.00%,200,15.4,1,5,48,1.3,20,0,MillSc01,101.1
Deebo Samuel,23,WR,15,11,70.40%,802,14.1,3,32,42,3.8,53.5,2,SamuDe00,78.1
Willie Snead,27,WR,16,11,67.40%,339,10.9,5,20,50,1.9,21.2,0,SneaWi00,92.2
Marquez Valdes-Scantling,25,WR,16,10,46.40%,452,17.4,2,14,74,1.6,28.3,0,ValdMa00,136
Melvin Gordon,26,RB,12,11,76.40%,296,7,1,11,25,3.5,24.7,4,GordMe00,45.8
Cam Sims,23,wr,7,1,66.70%,27,13.5,0,1,15,0.3,3.9,0,SimsCa00,83.7
Mo Alie-Cox,26,te,16,2,72.70%,93,11.6,0,5,21,0.5,5.8,0,AlieMo00,80.4
Dan Arnold,24,0,5,1,57.10%,127,15.9,2,6,37,1.6,25.4,0,ArnoDa00,94.8
Chris Herndon,23,te,1,0,50.00%,7,7,0,0,7,1,7,0,HernCh00,73.7
Jamaal Williams,24,rb,14,2,86.70%,253,6.5,5,16,17,2.8,18.1,0,WillJa06,60.6
Isaiah McKenzie,24,WR,15,8,69.20%,254,9.4,1,12,46,1.8,16.9,0,McKeIs00,88.2
Breshad Perriman,26,wr,14,4,52.20%,645,17.9,6,29,44,2.6,46.1,0,PerrBr02,98.5
Irv Smith Jr.,21,te,16,7,76.60%,311,8.6,2,17,29,2.3,19.4,1,SmitIr01,96.5
James Washington,23,WR,15,10,55.00%,735,16.7,3,31,79,2.9,49,1,WashJa00,99.2
Kalen Ballage,24,RB,12,6,58.30%,63,4.5,0,4,13,1.2,5.3,0,BallKa00,43.6
Cameron Brate,28,TE,16,6,65.50%,311,8.6,4,21,37,2.3,19.4,0,BratCa00,68.2
Trey Burton,28,te,8,5,58.30%,84,6,0,5,16,1.8,10.5,0,BurtTr01,71
Isaiah Ford,23,wr,8,0,65.70%,244,10.6,0,16,28,2.9,30.5,0,FordIs00,55.6
Jalen Guyton,22,wr,3,0,0.00%,0,0,0,0,0,0,0,0,GuytJa01,97.1
Duke Johnson,26,rb,16,2,71.00%,410,9.3,3,18,21,2.8,25.6,1,JohnDu00,52.9
Ronald Jones II,22,RB,16,9,77.50%,309,10,0,12,41,1.9,19.3,3,JoneRo01,46.5
James O'Shaughnessy,27,TE,5,5,70.00%,153,10.9,2,7,35,2.8,30.6,0,O'ShJa00,54.2
Tony Pollard,22,rb,15,0,75.00%,107,7.1,1,4,21,1,7.1,1,PollTo00,53.3
Kyle Rudolph,30,TE,16,16,81.30%,367,9.4,6,24,32,2.4,22.9,0,RudoKy00,65.4
Miles Sanders,22,RB,16,11,79.40%,509,10.2,3,19,45,3.1,31.8,2,SandMi01,39.7
Steven Sims,22,wr,16,2,60.70%,310,9.1,4,18,65,2.1,19.4,1,SimsSt00,51.5
Durham Smythe,24,TE,16,14,50.00%,65,9.3,0,2,24,0.4,4.1,0,SmytDu00,58.8
Rex Burkhead,29,rb,13,1,71.10%,279,10.3,0,10,32,2.1,21.5,1,BurkRe00,62.2
Kenyan Drake,25,0,14,10,73.50%,345,6.9,0,15,26,3.6,24.6,2,DrakKe00,32.7
Todd Gurley,25,RB,15,15,63.30%,207,6.7,2,8,23,2.1,13.8,3,GurlTo01,37.4
Brian Hill,24,rb,12,2,71.40%,69,6.9,1,4,12,0.8,5.8,0,HillBr02,40.9
Jacob Hollister,26,te,11,3,69.50%,349,8.5,3,16,22,3.7,31.7,0,HollJa03,63.9
Boston Scott,24,rb,11,2,92.30%,204,8.5,0,10,39,2.2,18.5,4,ScotBo02,48.2
Will Dissly,23,TE,6,6,85.20%,262,11.4,4,14,38,3.8,43.7,1,DissWi00,61.1
Dawson Knox,23,TE,15,11,56.00%,388,13.9,2,15,49,1.9,25.9,0,KnoxDa00,66.8
Greg Olsen,34,TE,14,14,63.40%,597,11.5,2,34,41,3.7,42.6,0,OlseGr00,53.9
Odell Beckham Jr.,27,WR,16,15,55.60%,1035,14,4,44,89,4.6,64.7,1,BeckOd00,72.9
Malcolm Brown,26,rb,14,1,33.30%,16,8,0,0,10,0.1,1.1,0,BrowMa03,37.2
Jack Doyle*,29,TE,16,16,59.70%,448,10.4,4,29,23,2.7,28,1,DoylJa00,64.1
DaeSean Hamilton,24,wr,16,2,53.80%,297,10.6,1,19,28,1.8,18.6,0,HamiDa01,62.3
Adam Humphries,26,wr,12,3,78.70%,374,10.1,2,20,30,3.1,31.2,1,HumpAd00,57.8
Richie James,24,wr,16,1,60.00%,165,27.5,1,5,57,0.4,10.3,1,JameRi00,64.4
Latavius Murray,29,rb,16,8,79.10%,235,6.9,1,9,30,2.1,14.7,0,MurrLa00,44.6
Julian Edelman,33,WR,16,13,65.40%,1117,11.2,6,54,44,6.3,69.8,3,EdelJu00,52.5
Darren Fells,33,TE,16,14,70.80%,341,10,7,22,24,2.1,21.3,0,FellDa01,76.2
Wayne Gallman,25,rb,10,2,73.30%,102,9.3,1,4,21,1.1,10.2,0,GallWa00,30.4
Andy Isabella,23,wr,15,1,69.20%,189,21,1,4,88,0.6,12.6,0,IsabAn00,53.4
Joe Mixon,23,RB,16,15,77.80%,287,8.2,3,14,33,2.2,17.9,0,MixoJo00,38.8
Cordarrelle Patterson*+,28,wr,16,4,64.70%,83,7.5,0,3,33,0.7,5.2,0,PattCo00,34.2
Chad Beebe,25,wr,3,0,100.00%,70,35,0,2,61,0.7,23.3,3,BeebCh00,48.1
Kenny Golladay*,26,WR,16,16,56.00%,1190,18.3,11,52,75,4.1,74.4,1,GollKe00,65.8
Deonte Harty*+,22,wr,14,1,100.00%,24,4,0,2,13,0.4,1.7,3,HarrDe07,38.6
Ian Thomas,23,te,16,3,53.30%,136,8.5,1,10,19,1,8.5,0,ThomIa00,38.5
Chris Thompson,29,rb,11,0,72.40%,378,9,0,16,39,3.8,34.4,1,ThomCh03,40.6
Olamide Zaccheaus,22,wr,10,0,60.00%,115,38.3,1,2,93,0.3,11.5,0,ZaccOl01,53.4
Miles Boykin,23,WR,16,11,59.10%,198,15.2,3,10,50,0.8,12.4,0,BoykMi00,69.6
Tyler Conklin,24,te,15,1,80.00%,58,7.3,0,2,20,0.5,3.9,0,ConkTy00,42.4
Ross Dwelley,24,te,16,6,68.20%,91,6.1,2,8,25,0.9,5.7,0,DwelRo00,49.5
Derrick Henry *,25,RB,15,15,75.00%,206,11.4,2,4,75,1.2,13.7,5,HenrDe00,24.4
Justin Jackson,23,rb,7,0,81.80%,22,2.4,0,0,9,1.3,3.1,0,JackJu01,36.3
Kerryon Johnson,22,RB,8,7,66.70%,127,12.7,1,7,36,1.3,15.9,1,JohnKe06,41.7
Kyle Juszczyk*,28,FB,12,12,83.30%,239,12,1,11,49,1.7,19.9,0,JuszKy00,61.2
Dion Lewis,29,rb,16,1,78.10%,164,6.6,1,7,24,1.6,10.3,1,LewiDi00,31.7
David Njoku,23,te,4,1,50.00%,41,8.2,1,3,18,1.3,10.3,0,NjokDa00,52.3
Jalen Richard,26,rb,16,0,83.70%,323,9,0,15,33,2.3,20.2,2,RichJa01,30.8
Marvin Hall,26,wr,9,0,63.60%,261,37.3,1,7,58,0.8,29,0,HallMa02,60.2
Dontrelle Inman,30,0,7,1,57.10%,181,15.1,0,9,28,1.7,25.9,0,InmaDo00,44.3
Kaden Smith,22,te,9,6,73.80%,268,8.6,3,12,32,3.4,29.8,2,SmitKa00,27.2
Darrel Williams,24,rb,12,0,78.90%,167,11.1,1,7,52,1.3,13.9,1,WillDa10,29.6
Preston Williams,22,WR,8,7,53.30%,428,13.4,3,24,35,4,53.5,2,WillPr01,70.8
Devontae Booker,27,rb,16,0,66.70%,57,9.5,0,1,25,0.4,3.6,0,BookDe00,23.4
Christian McCaffrey*+,23,RB,16,16,81.70%,1005,8.7,4,58,28,7.3,62.8,1,McCaCh01,37.9
Mohamed Sanu,30,0,15,12,66.30%,520,8.8,2,30,28,3.9,34.7,0,SanuMo00,41.7
Ito Smith,24,rb,7,0,78.60%,87,7.9,0,2,11,1.6,12.4,0,SmitIt00,22.5
Jeff Smith,22,wr,1,0,50.00%,12,12,0,1,12,1,12,0,SmitJe03,33.7
Cedrick Wilson Jr.,24,wr,6,0,62.50%,46,9.2,0,2,14,0.8,7.7,0,WilsCe01,47.9
Le'Veon Bell,27,RB,15,15,84.60%,461,7,1,20,23,4.4,30.7,1,BellLe00,27.8
Nick Chubb*,24,RB,16,16,73.50%,278,7.7,0,13,32,2.3,17.4,3,ChubNi00,29
Frank Gore,36,rb,16,8,81.30%,100,7.7,0,5,18,0.8,6.3,0,GoreFr00,22.9
Darrell Henderson,22,rb,13,0,66.70%,37,9.3,0,1,14,0.3,2.8,0,HendDa00,37.9
Mack Hollins,26,0,16,3,43.50%,125,12.5,0,7,20,0.6,7.8,0,HollMa00,37.6
Carlos Hyde,29,RB,16,14,62.50%,42,4.2,0,2,14,0.6,2.6,4,HydeCa00,23.3
Ty Johnson,22,rb,16,1,77.40%,109,4.5,0,4,13,1.5,6.8,1,JohnTy02,31.9
Raheem Mostert,27,rb,16,0,63.60%,180,12.9,2,6,39,0.9,11.3,2,MostRa00,35.6
KeeSean Johnson,23,wr,10,4,50.00%,187,8.9,1,10,31,2.1,18.7,1,JohnKe07,32.3
LeSean McCoy,31,RB,13,9,82.40%,181,6.5,1,6,23,2.2,13.9,3,McCoLe01,25.1
Vance McDonald,29,TE,14,14,69.10%,273,7.2,3,12,22,2.7,19.5,1,McDoVa00,24.9
Nick Boyle,26,TE,16,15,72.10%,321,10.4,2,13,35,1.9,20.1,0,BoylNi00,37.3
Pharaoh Brown,25,TE,9,6,66.70%,27,13.5,0,1,18,0.2,3,0,BrowPh01,42.3
Chris Hogan,32,wr,7,1,53.30%,67,8.4,0,3,13,1.1,9.6,0,HogaCh00,25.8
DeSean Jackson,33,wr,3,3,90.00%,159,17.7,2,6,53,3,53,0,JackDe00,43.6
Jesse James,25,TE,16,11,59.30%,142,8.9,0,8,23,1,8.9,0,JameJe00,38.9
Marcus Johnson,25,WR,8,6,51.50%,277,16.3,2,12,50,2.1,34.6,0,JohnMa07,39.5
Olabisi Johnson,22,0,16,6,68.90%,294,9.5,3,17,23,1.9,18.4,0,JohnOl00,32.9
Zay Jones,24,0,15,9,60.00%,216,8,0,10,23,1.8,14.4,0,JoneZa00,35.4
Auden Tate,22,WR,12,10,50.00%,575,14.4,1,29,33,3.3,47.9,1,TateAu00,29
Nick Vannett,26,0,16,7,77.30%,166,9.8,0,5,18,1.1,10.4,0,VannNi00,29.5
Jamal Agnew,24,db,13,0,50.00%,-2,-2,0,0,-2,0.1,-0.2,1,AgneJa00,17.9
Christian Blake,23,wr,9,3,45.80%,91,8.3,0,5,13,1.2,10.1,0,BlakCh00,27.1
Ryan Izzo,24,te,6,4,66.70%,114,19,1,4,41,1,19,0,IzzoRy00,30.9
Alexander Mattison,21,rb,13,0,83.30%,82,8.2,0,3,17,0.8,6.3,1,MattAl01,31.5
Byron Pringle,26,wr,16,0,75.00%,170,14.2,1,7,28,0.8,10.6,0,PrinBy00,35
Mike Thomas,25,wr,16,0,40.00%,14,7,0,1,9,0.1,0.9,0,ThomMi04,30.2
Jeff Wilson,24,rb,10,0,60.00%,34,11.3,1,1,25,0.3,3.4,0,WilsJe01,40.3
Jason Witten,37,TE,16,16,75.90%,529,8.4,4,27,33,3.9,33.1,1,WittJa00,31.9
Alex Erickson,27,wr,16,6,55.10%,529,12.3,0,26,52,2.7,33.1,4,EricAl01,21.9
Royce Freeman,23,rb,16,0,86.00%,256,6,1,10,19,2.7,16,0,FreeRo00,20.1
Alec Ingold,23,fb,16,4,100.00%,44,7.3,1,4,14,0.4,2.8,0,IngoAl01,29
Tyler Kroft,27,te,11,3,42.90%,71,11.8,1,5,20,0.5,6.5,0,KrofTy00,41.9
Adrian Peterson,34,RB,15,15,73.90%,142,8.4,0,7,22,1.1,9.5,3,PeteAd01,22.1
Adam Shaheen,25,te,8,2,69.20%,74,8.2,0,3,18,1.1,9.3,1,ShahAd00,45
Jace Sternberger,23,te,6,1,0.00%,0,0,0,0,0,0,0,0,SterJa00,29.4
Jordan Wilkins,25,rb,14,1,63.60%,43,6.1,0,1,11,0.5,3.1,0,WilkJo01,22.5
Blake Bell,28,TE,15,7,53.30%,67,8.4,0,3,30,0.5,4.5,0,BellBl00,22
C.J. Board,26,wr,4,0,50.00%,31,15.5,0,1,23,0.5,7.8,0,BoarC.00,21.1
Tyler Ervin,26,0,10,0,50.00%,11,5.5,0,1,6,0.2,1.1,2,ErviTy00,19.4
KhaDarel Hodge,24,wr,16,1,40.00%,76,19,0,3,41,0.3,4.8,0,HodgKh00,29
O.J. Howard,25,TE,14,14,64.20%,459,13.5,1,23,33,2.4,32.8,1,HowaO.00,37.6
Keith Smith,27,fb,16,5,33.30%,13,13,0,1,13,0.1,0.8,0,SmitKe03,16.9
Kenny Stills,27,wr,13,5,72.70%,561,14,4,27,45,3.1,43.2,0,StilKe00,31.4
Patrick Laird,24,rb,15,4,76.70%,204,8.9,0,13,21,1.5,13.6,0,LairPa00,14.8
Marcedes Lewis,35,TE,16,11,78.90%,156,10.4,1,8,25,0.9,9.8,0,LewiMa00,38.7
Dare Ogunbowale,25,rb,16,0,76.10%,286,8.2,0,14,21,2.2,17.9,2,OgunDa00,15.4
Benny Snell Jr.,21,rb,13,2,75.00%,23,7.7,0,0,14,0.2,1.8,1,SnelBe00,12.1
Matt Breida,24,rb,13,5,86.40%,120,6.3,1,6,17,1.5,9.2,2,BreiMa00,14.6
Gus Edwards,24,rb,16,1,100.00%,45,6.4,0,2,10,0.4,2.8,2,EdwaGu00,19.9
Ryan Griffin,29,TE,13,13,82.90%,320,9.4,5,19,45,2.6,24.6,0,GrifRy00,17.6
Travis Homer,21,rb,16,1,84.60%,56,5.1,0,3,11,0.7,3.5,0,HomeTr00,24
Devine Ozigbo,23,rb,10,0,60.00%,23,7.7,0,1,12,0.3,2.3,0,OzigDe01,13.2
Kalif Raymond,25,wr,8,1,75.00%,170,18.9,1,6,52,1.1,21.3,1,RaymKa00,27.7
Patrick Ricard*,25,FB,16,7,72.70%,47,5.9,1,3,10,0.5,2.9,0,RicaPa00,17.5
Jaylen Samuels,23,te,14,4,82.50%,305,6.5,1,19,27,3.4,21.8,1,SamuJa00,13.6
Geoff Swaim,26,te,6,2,76.50%,65,5,0,1,9,2.2,10.8,0,SwaiGe00,23.3
Ameer Abdullah,26,rb,16,0,71.40%,88,5.9,1,5,16,0.9,5.5,1,AbduAm00,25.8
Darrell Daniels,25,te,11,0,33.30%,4,4,0,1,4,0.1,0.4,0,DaniDa02,23.2
Troy Fumagalli,24,te,11,5,66.70%,38,6.3,1,1,9,0.5,3.5,0,FumaTr00,22
C.J. Ham*,26,FB,16,7,65.40%,149,8.8,1,6,36,1.1,9.3,1,HamxC.00,23.7
Josh Hill,29,TE,16,11,71.40%,226,9,3,13,29,1.6,14.1,0,HillJo02,16.6
Taysom Hill,29,wr,16,5,86.40%,234,12.3,6,14,45,1.2,14.6,0,HillTa00,3.8
Jakob Johnson,25,FB,4,3,50.00%,5,5,0,0,5,0.3,1.3,0,JohnJa12,15.5
Troymaine Pope,26,rb,14,0,66.70%,14,7,1,1,13,0.1,1,1,PopeTr00,12.2
C.J. Uzomah,26,TE,16,16,67.50%,242,9,2,12,36,1.7,15.1,0,UzomC.00,22.7
Maxx Williams,25,TE,16,10,78.90%,202,13.5,1,11,28,0.9,12.6,0,WillMa04,24.2
Devonta Freeman,27,RB,14,14,84.30%,410,6.9,4,17,28,4.2,29.3,3,FreeDe00,12.8
Demetrius Harris,28,TE,15,6,55.60%,149,9.9,3,10,23,1,9.9,0,HarrDe03,11.5
Phillip Lindsay,25,RB,16,16,72.90%,196,5.6,0,9,36,2.2,12.3,0,LindPh00,9.8
Sony Michel,24,RB,16,14,60.00%,94,7.8,0,7,19,0.8,5.9,2,MichSo00,24.4
Foster Moreau,22,TE,13,7,84.00%,174,8.3,5,14,23,1.6,13.4,0,MoreFo00,33
Luke Stocker,31,TE,15,9,57.10%,53,6.6,0,2,18,0.5,3.5,1,StocLu00,13.3
Darwin Thompson,22,rb,12,0,90.00%,43,4.8,0,2,19,0.8,3.6,0,ThomDa06,19.5
Justin Watson,23,wr,16,2,57.70%,159,10.6,2,10,17,0.9,9.9,0,WatsJu01,16.4
Deon Yelder,24,te,9,1,75.00%,50,16.7,0,2,24,0.3,5.6,0,YeldDe00,10.6
Saquon Barkley,22,RB,13,13,71.20%,438,8.4,2,14,65,4,33.7,1,BarkSa00,12
Parris Campbell,22,wr,7,3,75.00%,127,7.1,1,6,27,2.6,18.1,3,CampPa00,13.1
