Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional,points
45,Calvin Ridley,ATL,25,WR,13,10,93,63,67.70%,866,13.7,7,47,36,9.3,4.8,66.6,0,RidlCa00,191.6
46,Jason Witten,DAL,37,TE,16,16,83,63,75.90%,529,8.4,4,27,33,6.4,3.9,33.1,1,WittJa00,137.9
47,Danny Amendola,DET,34,WR,15,10,97,62,63.90%,678,10.9,1,36,47,7,4.1,45.2,0,AmenDa00,135.8
48,Marvin Jones,DET,29,WR,13,11,91,62,68.10%,779,12.6,9,41,47,8.6,4.8,59.9,0,JoneMa02,193.9
49,Devonta Freeman,ATL,27,RB,14,14,70,59,84.30%,410,6.9,4,17,28,5.9,4.2,29.3,3,FreeDe00,118
50,Diontae Johnson,PIT,23,WR,16,12,92,59,64.10%,680,11.5,5,31,45,7.4,3.7,42.5,5,JohnDi01,147
51,Mohamed Sanu,2TM,30,,15,12,89,59,66.30%,520,8.8,2,30,28,5.8,3.9,34.7,0,SanuMo00,123
52,Dallas Goedert,PHI,24,TE,15,9,87,58,66.70%,607,10.5,5,33,28,7,3.9,40.5,2,GoedDa00,144.7
53,Tyreek Hill*,KAN,25,WR,12,12,89,58,65.20%,860,14.8,7,39,57,9.7,4.8,71.7,0,HillTy00,186
54,Terry McLaurin,WAS,24,WR,14,14,93,58,62.40%,919,15.8,7,43,75,9.9,4.1,65.6,0,McLaTe00,191.9
55,D.K. Metcalf,SEA,22,WR,16,15,100,58,58.00%,900,15.5,7,39,54,9,3.6,56.3,3,MetcDK00,184
56,Deebo Samuel,SFO,23,WR,15,11,81,57,70.40%,802,14.1,3,32,42,9.9,3.8,53.5,2,SamuDe00,151.2
57,Sterling Shepard,NYG,26,WR,10,10,83,57,68.70%,576,10.1,3,29,36,6.9,5.7,57.6,0,ShepSt00,132.6
58,Randall Cobb,DAL,29,wr,15,6,83,55,66.30%,828,15.1,3,41,59,10,3.7,55.2,2,CobbRa00,151.8
